                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                0.88139,                0.53906,                 1.1701,                0.90357,                0.94818,                0.93186,                0.70693,                0.97298,                 0.4407,                 1.3512,              0.0039115,              0.0039115,              0.0039115
                    126,                0.87806,                0.53662,                 1.1723,                0.90292,                0.94544,                0.93019,                0.70648,                0.96924,                0.44039,                 1.3485,               0.003862,               0.003862,               0.003862
                    127,                0.88321,                0.53522,                 1.1731,                0.91013,                0.93753,                 0.9292,                  0.706,                0.96799,                0.44154,                 1.3485,              0.0038125,              0.0038125,              0.0038125
                    128,                0.87161,                0.53598,                 1.1617,                0.90874,                0.93839,                0.92977,                0.70822,                0.96457,                0.44052,                 1.3476,               0.003763,               0.003763,               0.003763
                    129,                0.86774,                 0.5287,                 1.1624,                0.90759,                0.94132,                0.92804,                0.70758,                0.96104,                0.43942,                 1.3457,              0.0037135,              0.0037135,              0.0037135
                    130,                0.86528,                0.52327,                 1.1583,                0.90148,                0.94645,                0.93002,                0.71097,                0.95844,                0.43648,                 1.3455,               0.003664,               0.003664,               0.003664
                    131,                 0.8552,                0.52206,                 1.1547,                0.90344,                0.94304,                0.92953,                0.71142,                0.95627,                0.43771,                 1.3447,              0.0036145,              0.0036145,              0.0036145
                    132,                0.85229,                0.51999,                 1.1549,                0.91015,                 0.9381,                 0.9297,                0.71397,                0.95186,                0.43613,                 1.3422,               0.003565,               0.003565,               0.003565
                    133,                0.85454,                 0.5201,                 1.1558,                0.90959,                0.93844,                0.93121,                0.71803,                0.94989,                0.43569,                 1.3417,              0.0035155,              0.0035155,              0.0035155
                    134,                 0.8463,                0.51647,                 1.1515,                0.90752,                0.93884,                0.93291,                0.71965,                0.94836,                0.43529,                 1.3416,               0.003466,               0.003466,               0.003466
                    135,                0.84694,                0.51391,                 1.1525,                0.89755,                0.94968,                0.93066,                0.71825,                0.94696,                0.43385,                 1.3415,              0.0034165,              0.0034165,              0.0034165
                    136,                0.84764,                0.51636,                 1.1484,                0.89194,                 0.9563,                0.92941,                 0.7176,                 0.9465,                0.43429,                 1.3424,               0.003367,               0.003367,               0.003367
                    137,                0.83579,                0.51359,                 1.1439,                0.90379,                 0.9436,                0.92897,                0.71745,                0.94568,                0.43477,                 1.3437,              0.0033175,              0.0033175,              0.0033175
                    138,                0.84062,                 0.5078,                 1.1446,                0.90514,                0.94056,                0.92989,                0.71932,                0.94431,                0.43432,                 1.3441,               0.003268,               0.003268,               0.003268
                    139,                 0.8311,                 0.5105,                 1.1393,                0.89694,                0.94916,                0.92875,                0.71889,                0.94272,                0.43433,                 1.3443,              0.0032185,              0.0032185,              0.0032185
                    140,                0.83385,                 0.5083,                 1.1456,                0.89515,                0.95315,                0.92864,                0.71988,                0.94112,                0.43381,                  1.344,               0.003169,               0.003169,               0.003169
                    141,                0.82322,                0.49692,                 1.1367,                 0.8982,                0.95152,                0.92888,                0.72139,                0.93869,                0.43224,                 1.3426,              0.0031195,              0.0031195,              0.0031195
                    142,                0.82411,                0.50178,                 1.1407,                0.90371,                0.94896,                0.92931,                0.72308,                0.93727,                0.43237,                 1.3425,                0.00307,                0.00307,                0.00307
                    143,                0.81787,                0.49337,                 1.1327,                0.90273,                0.94793,                0.93023,                 0.7239,                0.93536,                0.43185,                 1.3426,              0.0030205,              0.0030205,              0.0030205
                    144,                0.81997,                0.49637,                 1.1327,                0.90441,                0.94455,                0.93098,                0.72451,                0.93377,                0.43153,                 1.3423,               0.002971,               0.002971,               0.002971
                    145,                0.81422,                0.48999,                 1.1316,                0.90605,                 0.9421,                0.93079,                0.72547,                 0.9328,                0.43113,                 1.3422,              0.0029215,              0.0029215,              0.0029215
                    146,                0.81329,                0.50175,                  1.134,                0.90643,                0.94264,                 0.9308,                0.72579,                0.93171,                0.43069,                 1.3417,               0.002872,               0.002872,               0.002872
                    147,                0.80756,                0.48844,                 1.1304,                0.90788,                0.94304,                0.93093,                0.72622,                0.93101,                0.43014,                  1.342,              0.0028225,              0.0028225,              0.0028225
                    148,                0.80533,                0.48556,                 1.1289,                0.90604,                0.94312,                0.93086,                0.72648,                0.93014,                0.43001,                 1.3418,               0.002773,               0.002773,               0.002773
                    149,                0.79834,                0.48807,                 1.1244,                0.90653,                0.94442,                0.93258,                0.72778,                0.92911,                0.42869,                  1.342,              0.0027235,              0.0027235,              0.0027235
                    150,                0.79949,                0.48384,                 1.1227,                0.90683,                0.94451,                0.93222,                 0.7281,                0.92743,                0.42863,                 1.3419,               0.002674,               0.002674,               0.002674
                    151,                0.79052,                0.48185,                 1.1208,                0.90897,                0.94335,                0.93195,                0.72807,                0.92505,                0.42797,                 1.3414,              0.0026245,              0.0026245,              0.0026245
                    152,                0.79097,                0.48185,                 1.1223,                0.90497,                0.94832,                0.93242,                0.73055,                0.92396,                 0.4275,                 1.3418,               0.002575,               0.002575,               0.002575
